,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,603536.SH,20190531,9.6,1.7665,1.7665,0.87,35.4767,87.7873,2.6246,1.5481,1.5983,16800.0,6025.4067,6025.4067,161280.0,57843.9043
1,002179.SZ,20190531,33.0,0.4567,0.9799,0.86,35.5733,33.2868,5.447,4.3409,3.994,102813.511,102028.9406,47556.1343,3392845.863,3366955.0398
2,600415.SH,20190531,4.0,0.1036,0.2498,0.61,20.1111,38.7217,1.7992,6.0585,6.0718,544321.4176,544321.4176,225756.8256,2177285.6704,2177285.6704
3,300682.SZ,20190531,18.1,3.2929,6.8288,1.73,58.4528,59.9798,5.9459,7.6951,7.6444,43172.0862,16421.262,7918.2963,781414.7602,297224.8422
4,300225.SZ,20190531,5.61,2.5509,3.7272,1.18,238.2652,320.734,2.9799,3.2626,3.2362,47034.0,46860.6681,32071.601,263860.74,262888.348
5,002494.SZ,20190531,5.64,0.7331,0.832,0.85,128.937,128.4174,1.1437,4.3372,4.3922,38556.0818,29502.0162,25992.6069,217456.3014,166391.3714
6,002575.SZ,20190531,7.27,0.9907,1.7745,0.66,618.3343,448.2796,4.7487,224.723,190.1082,58872.0,58872.0,32869.45,427999.44,427999.44
7,300157.SZ,20190531,5.33,7.2822,7.2822,2.87,124.0944,129.5963,1.1539,2.55,3.001,71211.3257,59523.1167,59523.1167,379556.366,317258.212
8,600651.SH,20190531,3.77,1.2191,1.7925,0.88,,,,1.129,1.1325,98892.2311,98522.0002,67008.1607,372823.7112,371427.9408
9,300538.SZ,20190531,31.53,9.2287,9.4717,0.91,87.2487,85.1664,6.1771,2.049,2.0497,8419.5984,2429.572,2367.2418,265469.9376,76604.4052
10,002552.SZ,20190531,6.98,1.7761,4.5074,1.31,74.5016,55.523,3.4401,6.8764,6.7531,30623.2338,20014.8944,7886.5259,213750.1719,139703.9629
11,600082.SH,20190531,4.78,1.2291,1.6331,0.62,210.6848,206.242,1.8119,3.9523,3.0368,64611.5826,63393.8782,47709.9024,308843.3648,303022.7378
12,002103.SZ,20190531,4.66,2.9136,4.3415,0.72,,,2.4765,1.2413,1.2781,54562.3431,38579.2327,25890.3361,254260.5188,179779.2244
13,300609.SZ,20190531,36.25,0.7041,1.0889,0.77,55.8024,48.7706,7.1537,14.6798,13.6568,10090.2,5488.4227,3549.1954,365769.75,198955.3229
14,002479.SZ,20190531,5.25,0.295,0.4477,0.58,37.4499,40.1916,1.2667,1.5593,1.5302,89410.0,88735.622,58472.0862,469402.5,465862.0155
15,002123.SZ,20190531,11.0,2.1253,2.6519,0.64,113.4857,93.2576,1.9644,3.2207,3.0917,81060.6519,62298.4645,49925.9665,891667.1709,685283.1095
16,002434.SZ,20190531,6.76,0.2407,0.5773,0.74,25.7627,26.9357,1.4906,2.0725,2.0977,134000.0,100907.63,42076.13,905840.0,682135.5788
17,000523.SZ,20190531,5.57,2.0109,3.6764,0.74,104.9903,100.4233,1.8311,0.2919,0.2948,62753.3125,62696.9726,34293.0044,349535.9506,349222.1374
18,002530.SZ,20190531,9.71,1.979,3.0098,0.9,26.196,25.3662,1.8091,6.0313,5.6646,78518.6964,37369.6306,24570.8239,762416.542,362859.1131
19,600028.SH,20190531,5.43,0.0772,0.5738,0.95,10.4205,11.1272,0.8888,0.2274,0.2201,12107120.9646,9555777.1046,1284854.3653,65741666.8378,51887869.678
20,300202.SZ,20190531,6.9,2.9113,5.4546,1.23,,,2.3618,6.0885,6.9853,54950.4,41142.8779,21959.2143,379157.76,283885.8575
21,002348.SZ,20190531,3.68,0.7142,1.0854,0.81,308.9399,118.043,2.6681,4.1984,3.9375,94720.0,74309.0529,48897.0692,348569.6,273457.3147
22,603389.SH,20190531,9.37,6.7746,6.7746,1.04,,,2.7111,4.9192,4.9723,21896.0,6296.0,6296.0,205165.52,58993.52
23,002132.SZ,20190531,3.04,1.361,2.0835,0.65,,,1.374,1.2672,1.2509,125649.8403,125247.6814,81812.3969,381975.5145,380752.9515
24,300756.SZ,20190531,41.9,8.9709,8.9709,2.53,30.7699,37.6475,3.1523,5.7964,5.5612,7200.0,1800.0,1800.0,301680.0,75420.0
25,000892.SZ,20190531,3.94,0.5279,0.5855,0.76,11.9065,11.8161,1.1179,2.9094,2.9564,98098.0473,53817.6216,48524.6118,386506.3064,212041.4291
26,603063.SH,20190531,10.1,1.9098,1.9222,1.34,81.0088,67.0873,1.7745,3.6837,3.1146,43089.0,25530.0,25365.43,435198.9,257853.0
27,300076.SZ,20190531,5.3,1.0247,1.6545,0.72,119.751,,2.2413,11.2112,16.5307,42400.0,38187.2762,23649.9224,224720.0,202392.5639
28,600658.SH,20190531,5.39,0.6669,1.5702,1.06,14.71,15.3063,0.903,2.6983,2.8039,111858.5045,111858.5045,47507.1475,602917.3393,602917.3393
29,601997.SH,20190531,12.86,0.5996,0.5996,0.74,5.754,5.5974,0.9691,2.3376,2.2835,229859.19,120763.0931,120763.0931,2955989.1834,1553013.3773
30,600201.SH,20190531,14.77,0.6914,0.7901,0.52,22.7023,27.7693,3.3434,9.0309,10.2359,115965.5441,112624.0241,98557.7325,1712811.0864,1663456.836
31,000630.SZ,20190531,2.41,0.4515,0.7469,0.97,35.793,32.2759,1.4287,0.2999,0.2818,1052653.3308,956055.9167,577979.4652,2536894.5272,2304094.7592
32,600713.SH,20190531,4.54,0.1939,0.3189,0.73,17.8926,17.5006,1.2689,0.1511,0.1455,104161.1244,89742.5598,54578.3312,472891.5048,407431.2215
33,002213.SZ,20190531,8.03,1.7502,2.2845,1.29,1563.7435,,4.5407,13.3426,13.4905,20600.0,20600.0,15781.9485,165418.0,165418.0
34,300111.SZ,20190531,2.82,6.8824,8.4734,2.8,,,14.9199,4.8037,5.8168,111980.0,111723.9595,90746.5378,315783.6,315061.5658
35,300607.SZ,20190531,34.68,2.5496,2.7994,1.52,26.3273,25.5971,4.7761,3.7758,3.3702,13044.2088,5735.9568,5224.0248,452373.1612,198922.9818
36,601998.SH,20190531,5.78,0.0476,0.512,0.67,6.3542,6.2077,0.6761,1.7157,1.6385,4893479.6573,3190516.4057,296623.5763,28284312.4192,18441184.8249
37,002690.SZ,20190531,29.04,1.4572,2.1333,0.73,43.8307,42.1703,10.3459,15.8351,15.1515,67600.0,32770.2964,22384.4714,1963104.0,951649.4075
38,300753.SZ,20190531,35.79,15.5707,15.5707,3.03,41.259,39.3485,4.9198,9.703,9.2264,8080.0,2020.0,2020.0,289183.2,72295.8
39,300037.SZ,20190531,21.88,1.0654,1.2727,0.82,25.8964,25.0976,2.8743,3.8286,3.7204,37880.1368,24898.2608,20842.5988,828817.3932,544773.9463
40,000680.SZ,20190531,3.73,1.4373,1.7335,1.47,57.5116,57.1572,1.3548,0.5784,0.5969,124078.7611,105692.9932,87631.7533,462813.7789,394234.8646
41,300674.SZ,20190531,35.05,51.8068,51.8068,2.14,71.6721,66.2305,8.4193,6.5498,6.322,40001.0,4001.0,4001.0,1402035.05,140235.05
42,300539.SZ,20190531,9.32,2.6565,2.6565,1.03,202.2081,198.6245,4.2683,3.6906,3.5427,21945.7953,7044.0214,7044.0214,204534.8122,65650.2794
43,000581.SZ,20190531,19.66,0.5087,0.8228,0.69,8.2785,8.6205,1.1947,2.2743,2.3066,100895.057,83649.0491,51717.0493,1983596.8206,1644540.3053
44,603709.SH,20190531,34.21,5.113,5.113,0.86,32.6688,30.5495,4.4877,3.0818,2.8682,8000.0,2000.0,2000.0,273680.0,68420.0
45,601992.SH,20190531,3.65,0.3321,0.7921,0.95,11.9535,10.0061,0.8989,0.4689,0.437,1067777.1134,833415.8264,349368.4792,3897386.4639,3041967.7664
46,000608.SZ,20190531,5.47,0.2282,0.4387,0.78,357.818,261.3421,1.3945,14.2013,14.8854,74991.3309,74980.1859,39001.6237,410202.58,410141.6169
47,600831.SH,20190531,10.32,6.8851,10.003,1.4,68.1294,69.6157,1.9402,2.6376,2.5561,69359.804,65206.8888,44881.9774,715793.1773,672935.0924
48,300172.SZ,20190531,5.5,0.6729,0.7691,1.05,23.493,23.3689,2.1463,3.5973,3.5818,52220.0,34651.9025,30319.0931,287210.0,190585.4638
49,300666.SZ,20190531,40.88,5.4438,5.8635,0.74,152.068,158.4435,14.3341,13.765,13.1967,21876.0,8914.3467,8276.2112,894290.88,364418.4931
50,000166.SZ,20190531,4.72,0.1269,0.3361,0.69,28.4094,23.4993,1.5178,7.7362,6.6197,2503994.456,2253441.4205,850829.9957,11818853.8323,10636243.5048
51,002599.SZ,20190531,9.36,1.8146,2.8802,1.47,24.4677,24.1678,1.927,1.647,1.6297,32454.8446,20227.4095,12744.0514,303777.3455,189328.5529
52,600705.SH,20190531,5.43,0.2133,0.4014,0.53,15.3954,15.428,1.6864,6.5436,6.0458,897632.5766,897632.5766,476910.075,4874144.8909,4874144.8909
53,600855.SH,20190531,14.03,2.4987,3.9114,1.05,65.0928,68.1621,4.2722,2.3405,2.2415,35203.1272,34093.1629,21779.2005,493899.8746,478327.0755
54,600379.SH,20190531,8.3,0.5263,1.0599,0.79,50.893,51.5637,3.7333,2.3049,2.2071,23585.826,23585.826,11711.8537,195762.3558,195762.3558
55,600320.SH,20190531,3.66,0.1105,0.2036,0.8,43.5259,42.0637,1.2623,0.884,0.8805,526835.3501,332199.7661,180323.2242,1928217.3814,1215851.1439
56,300023.SZ,20190531,6.57,7.7267,10.5035,1.3,,,4.7939,4.9657,6.0205,31610.6775,14440.8844,10623.1375,207682.1512,94876.6105
57,300232.SZ,20190531,10.96,1.4731,1.8876,0.95,20.2305,18.8665,3.6277,1.8434,1.7437,76095.4196,46220.1241,36069.1404,834005.7988,506572.5601
58,002124.SZ,20190531,18.08,5.6516,7.1738,1.11,,,10.2545,4.6396,4.2608,115962.8098,93998.561,74053.1759,2096607.6012,1699493.9829
59,000582.SZ,20190531,8.54,1.0701,1.0701,0.75,21.617,19.4922,1.4826,3.3153,3.2002,163461.6854,26317.5194,26317.5194,1395962.7933,224751.6157
60,600550.SH,20190531,3.98,0.187,0.4538,0.65,,,9.7086,2.2999,2.2934,184152.848,153460.7067,63240.9691,732928.335,610773.6127
61,600742.SH,20190531,11.31,0.506,0.6773,0.63,11.6064,11.7959,1.1575,0.4219,0.4231,50765.616,50765.616,37921.7789,574159.117,574159.117
62,603657.SH,20190531,27.43,11.7473,11.7473,2.9,26.0802,25.0419,3.3785,5.193,4.9893,9600.0,2400.0,2400.0,263328.0,65832.0
63,000767.SZ,20190531,2.69,0.1952,0.3531,1.11,25.9151,12.3152,1.0955,0.737,0.7196,307694.2219,291229.5069,160963.2172,827697.4569,783407.3736
64,603200.SH,20190531,25.22,1.1146,1.1366,0.78,31.9064,29.6422,3.4437,6.1775,5.3081,10131.0075,3411.45,3345.3404,255504.0092,86036.769
65,603227.SH,20190531,3.85,0.585,0.9501,0.84,48.9807,50.3841,2.1771,1.2466,1.2343,65870.0,65870.0,40557.4096,253599.5,253599.5
66,300776.SZ,20190531,130.76,21.2674,21.2674,0.74,51.4959,43.261,6.8573,23.6966,19.2938,6612.515,1653.6,1653.6,864652.4614,216224.736
67,603106.SH,20190531,12.36,8.3455,8.3455,1.51,47.474,66.2972,2.2861,3.9073,4.6718,30800.0,13035.0,13035.0,380688.0,161112.6
68,601699.SH,20190531,7.71,0.4697,1.2698,0.86,8.661,8.1795,0.9148,0.9174,0.9004,299140.92,299140.92,110661.6188,2306376.4932,2306376.4932
69,603168.SH,20190531,7.26,0.9902,1.9192,0.97,,,1.5607,3.8556,4.1221,32259.2499,29734.25,15341.8469,234202.1543,215870.655
70,002476.SZ,20190531,6.24,1.837,2.1998,1.02,,,5.2918,8.4885,7.4232,61200.0,58630.484,48960.681,381888.0,365854.2202
71,600664.SH,20190531,4.12,0.8257,1.552,0.94,30.0352,171.1126,1.9977,0.9614,0.978,252339.2176,250695.5076,133378.1191,1039637.5765,1032865.4913
72,600807.SH,20190531,4.36,1.0451,1.5454,1.74,108.3947,27.5616,3.1495,2.7121,2.5825,88463.4731,78701.8464,53225.4841,385700.7427,343140.0503
73,600519.SH,20190531,890.0,0.2849,0.7961,0.68,31.7585,29.485,9.0121,15.1824,14.3673,125619.78,125619.78,44961.3757,111801604.2,111801604.2
74,300146.SZ,20190531,19.6,0.9772,1.2237,0.9,28.725,25.5311,5.3725,6.6167,5.9303,146876.388,88188.0833,70422.7897,2878777.2048,1728486.4327
75,600667.SH,20190531,7.7,9.0757,13.504,1.42,28.3068,27.5221,2.5772,1.0361,1.0189,210619.0178,119127.4272,80062.4142,1621766.4371,917281.1894
76,600577.SH,20190531,3.24,0.4531,0.6002,0.44,14.2327,14.0882,1.9232,0.5232,0.5302,192140.5191,192140.5191,145044.0275,622535.2819,622535.2819
77,000627.SZ,20190531,6.35,0.2183,0.4683,0.74,23.6506,23.8125,1.5478,1.0136,0.8293,494062.9165,494062.174,230335.8863,3137299.5198,3137294.8049
78,002098.SZ,20190531,5.96,2.518,5.5255,0.71,,,3.8614,0.9389,1.0181,35800.0,35800.0,16313.8752,213368.0,213368.0
79,600179.SH,20190531,4.63,4.209,4.8697,1.43,14.0072,19.9081,2.0182,0.6845,0.7121,148697.9915,67363.9431,58224.4202,688471.7006,311895.0566
80,002564.SZ,20190531,5.74,1.8765,2.0512,0.79,67.9322,35.7556,1.3373,0.6582,0.5821,88291.44,60218.0848,55090.3352,506792.8656,345651.8068
81,002402.SZ,20190531,8.98,1.1879,1.4137,0.83,34.6122,32.9331,4.728,2.8759,2.6524,85543.5396,73356.8647,61636.9817,768180.9856,658744.645
82,000682.SZ,20190531,5.0,0.9487,1.182,0.65,39.1794,33.0958,2.1894,2.2034,2.1151,134072.7007,97802.2745,78496.1319,670363.5035,489011.3725
83,600289.SH,20190531,2.58,0.3939,0.5273,0.73,,,,1.2986,1.3135,63105.2069,56592.2684,42280.862,162811.4338,146008.0525
84,300542.SZ,20190531,12.72,11.4437,11.4437,0.85,77.0915,75.6693,4.7461,3.6107,3.0888,23253.8325,8470.2292,8470.2292,295788.7494,107741.3154
85,002895.SZ,20190531,12.16,3.8761,3.8761,0.68,64.1083,63.2169,2.7537,3.8365,3.555,40708.3,8904.2,8904.2,495012.928,108275.072
86,603129.SH,20190531,20.58,1.1536,1.3604,1.55,22.9992,21.9181,2.8352,1.0865,1.0172,13438.54,6517.7254,5527.2492,276565.1532,134134.7887
87,300469.SZ,20190531,21.8,1.0436,1.8815,0.38,59.3589,56.9451,5.4821,3.7619,3.7017,12199.392,9711.0054,5386.2198,265946.7456,211699.9177
88,300532.SZ,20190531,15.11,3.0796,3.0796,0.44,229.9304,131.5855,5.1868,10.0669,6.8198,27725.328,11962.5012,11962.5012,418929.7061,180753.3931
89,600198.SH,20190531,15.53,13.9094,21.0755,2.2,23.6357,23.7467,303.0658,5.669,6.23,88210.8472,88045.4735,58108.3712,1369914.457,1367346.2035
90,603183.SH,20190531,15.73,1.4681,1.4681,0.9,30.4646,32.1723,2.7888,3.9787,3.91,12510.4,7371.7365,7371.7365,196788.592,115957.4151
91,000498.SZ,20190531,5.19,0.3754,1.0256,0.8,8.7603,7.9068,1.1347,0.3936,0.3332,112013.9063,112008.0313,40999.9383,581352.1737,581321.6824
92,000555.SZ,20190531,11.5,1.2538,3.157,0.84,263.1935,237.0696,2.2536,1.2206,1.2269,96343.1273,93491.4331,37130.5139,1107945.964,1075151.4807
93,603986.SH,20190531,77.01,2.469,3.4022,0.82,54.1713,61.7403,10.9712,9.7693,10.1544,28489.4488,20739.7179,15051.032,2193972.4521,1597165.6755
94,000737.SZ,20190531,3.15,0.4335,0.631,1.07,6.4724,5.4656,4.4852,0.946,1.1162,54876.0,54876.0,37703.5165,172859.4,172859.4
95,002711.SZ,20190531,1.54,13.6904,33.0249,57.43,,,,0.3327,0.43,105607.04,105311.7932,43656.5569,162634.8416,162180.1615
96,300342.SZ,20190531,10.33,3.2649,6.9563,0.67,45.8531,44.8638,3.2526,5.9832,5.7067,43194.0272,40308.7408,18919.0269,446194.301,416389.2925
97,603316.SH,20190531,8.06,0.5606,0.6239,0.69,29.2036,43.3746,1.9824,2.1241,2.202,20328.0,10507.6598,9442.1756,163843.68,84691.738
98,600626.SH,20190531,7.54,2.2505,3.265,0.64,51.3248,11.6085,1.7312,0.3935,0.4016,85229.1316,71024.2816,48955.0306,642627.6523,535523.0833
99,002930.SZ,20190531,18.55,22.5228,22.5228,4.07,61.6438,53.3274,3.6338,15.9047,15.1038,34131.7508,13771.282,13771.282,633143.9773,255457.2811
100,000407.SZ,20190531,3.98,1.1283,1.4,1.34,34.1628,33.7114,1.5186,0.7491,0.6722,88008.4656,87574.383,70578.1571,350273.6931,348546.0443
101,000668.SZ,20190531,16.28,1.0711,1.7652,1.61,270.7938,142.8234,2.5776,9.6214,9.6088,14684.189,14668.8393,8900.769,239058.5969,238808.7038
102,603617.SH,20190531,16.23,5.556,5.556,1.42,33.6202,32.7613,4.3803,3.6292,3.5024,14250.46,4261.18,4261.18,231284.9658,69158.9514
103,600232.SH,20190531,6.02,0.6541,1.2721,0.6,86.462,77.1763,1.9206,1.8311,1.7765,36471.8544,36471.8544,18754.5093,219560.5635,219560.5635
104,002749.SZ,20190531,11.54,0.5297,1.1454,1.38,18.341,18.4718,4.5507,4.9717,4.9451,37284.1501,23660.9036,10942.9029,430259.0922,273046.8275
105,603035.SH,20190531,9.79,1.0505,1.1887,0.93,8.0604,9.9152,1.0817,1.8726,1.9333,28000.0,17221.443,15219.4897,274120.0,168597.927
106,300128.SZ,20190531,4.16,1.7003,2.6257,0.74,,,3.7863,1.775,1.9608,109411.5412,106495.2993,68961.5866,455152.0114,443020.4451
107,300491.SZ,20190531,14.7,0.6597,1.4607,0.86,,,3.6696,14.6329,13.3118,16124.7503,11852.9725,5352.7569,237033.8294,174238.6958
108,002677.SZ,20190531,13.42,1.216,1.8484,0.5,22.9654,22.165,7.5112,6.1889,5.896,64605.1647,28594.9416,18810.5034,867001.3103,383744.1163
109,603717.SH,20190531,8.73,1.2979,1.311,0.99,23.0296,21.6705,1.5631,2.0147,1.9929,24179.624,12207.944,12086.0131,211088.1175,106575.3511
110,600051.SH,20190531,6.3,0.4507,0.6356,0.78,7.8829,7.3485,0.8284,0.4848,0.4827,31088.0,31088.0,22046.24,195854.4,195854.4
111,300777.SZ,20190531,24.92,1.4877,1.4877,3.45,82.7228,73.7831,11.4882,46.8872,41.9603,40001.0,4001.0,4001.0,996824.92,99704.92
112,300231.SZ,20190531,7.21,1.3322,1.4391,0.7,28.33,28.385,2.5562,2.6132,2.4502,44210.022,35312.8691,32688.1311,318754.2586,254605.7862
113,603056.SH,20190531,14.68,0.5421,0.5421,0.74,20.1209,25.5525,3.5425,0.6121,0.5921,96000.0,21765.8855,21765.8855,1409280.0,319523.1991
114,002492.SZ,20190531,5.49,1.5694,2.7979,1.55,38.6127,35.6561,1.7891,8.7341,8.4262,40500.0,39813.1742,22331.4242,222345.0,218574.3264
115,600312.SH,20190531,7.58,0.3575,0.6008,0.7,35.9214,29.9737,1.149,0.9509,0.9354,135692.1309,135692.1309,80742.3736,1028546.3522,1028546.3522
116,603787.SH,20190531,12.51,1.8986,2.639,0.88,28.7864,28.6555,2.6581,0.8366,0.8265,20400.0,7089.0,5100.0,255204.0,88683.39
117,300513.SZ,20190531,24.65,3.9079,3.9568,1.5,37.5083,31.4976,1.8205,3.9378,3.5758,17427.2864,10994.8909,10859.1579,429582.6098,271024.0607
118,600446.SH,20190531,18.64,2.2467,4.214,0.59,,,10.0122,3.2519,3.1159,85321.0484,85321.0484,45489.1465,1590384.3422,1590384.3422
119,300197.SZ,20190531,3.41,0.8062,0.889,1.44,26.2841,28.2377,1.2591,1.0322,1.0781,234547.7837,166590.3967,151082.5945,799807.9424,568073.2527
120,002532.SZ,20190531,6.3,1.3009,3.2455,0.87,24.2238,23.8507,2.429,2.1148,2.0917,50308.0023,37799.7864,15151.2422,316940.4145,238138.6543
121,601688.SH,20190531,18.63,0.538,0.9015,0.61,30.5451,26.014,1.4417,9.5433,8.5089,825150.0,544372.312,324904.7506,15372544.5,10141656.1726
122,300251.SZ,20190531,6.96,0.2928,0.9588,0.85,14.8678,,2.3739,13.6892,10.1748,293360.8432,274292.2744,83762.5956,2041791.4687,1909074.2298
123,600309.SH,20190531,38.04,1.1726,1.1726,0.73,11.2565,12.1126,3.4426,1.9702,1.8967,313974.6626,142375.642,142375.642,11943596.1653,5415969.4217
