,date,code,open,high,low,close,tradeStatus,kline_category
0,2018-01-02,sh.600000,12.61,12.77,12.6,12.72,1,positive
1,2018-01-03,sh.600000,12.73,12.8,12.66,12.66,1,negative
2,2018-01-04,sh.600000,12.7,12.73,12.62,12.66,1,negative
3,2018-01-05,sh.600000,12.67,12.71,12.62,12.69,1,positive
4,2018-01-08,sh.600000,12.69,12.71,12.63,12.68,1,negative
5,2018-01-09,sh.600000,12.68,12.74,12.66,12.7,1,positive
6,2018-01-10,sh.600000,12.7,13.09,12.68,13.02,1,positive
7,2018-01-11,sh.600000,12.95,13.04,12.87,12.94,1,negative
8,2018-01-12,sh.600000,12.97,13.0,12.9,12.91,1,negative
9,2018-01-15,sh.600000,12.88,13.08,12.85,13.02,1,positive
10,2018-01-16,sh.600000,12.97,13.06,12.78,12.9,1,negative
11,2018-01-17,sh.600000,12.91,13.42,12.89,13.1,1,positive
12,2018-01-18,sh.600000,13.14,13.25,13.05,13.24,1,positive
13,2018-01-19,sh.600000,13.33,13.61,13.18,13.24,1,negative
14,2018-01-22,sh.600000,12.93,13.15,12.71,12.77,1,negative
15,2018-01-23,sh.600000,12.75,12.92,12.68,12.9,1,positive
16,2018-01-24,sh.600000,12.97,14.0,12.89,13.57,1,positive
17,2018-01-25,sh.600000,13.54,13.76,13.36,13.65,1,positive
18,2018-01-26,sh.600000,13.65,13.72,13.36,13.41,1,negative
19,2018-01-29,sh.600000,13.48,13.53,13.32,13.46,1,negative
20,2018-01-30,sh.600000,13.45,13.49,13.09,13.11,1,negative
21,2018-01-31,sh.600000,13.05,13.19,12.98,13.17,1,positive
22,2018-02-01,sh.600000,13.14,13.33,12.94,13.3,1,positive
23,2018-02-02,sh.600000,13.19,13.19,13.01,13.14,1,negative
24,2018-02-05,sh.600000,13.0,13.54,12.98,13.49,1,positive
25,2018-02-06,sh.600000,13.29,13.5,13.2,13.48,1,positive
26,2018-02-07,sh.600000,13.58,13.9,13.24,13.45,1,negative
27,2018-02-08,sh.600000,13.34,13.4,12.95,13.1,1,negative
28,2018-02-09,sh.600000,12.89,12.98,12.24,12.78,1,negative
29,2018-02-12,sh.600000,12.66,12.68,12.43,12.49,1,negative
30,2018-02-13,sh.600000,12.55,12.68,12.5,12.51,1,negative
31,2018-02-14,sh.600000,12.5,12.55,12.38,12.46,1,negative
32,2018-02-22,sh.600000,12.6,12.68,12.53,12.63,1,positive
33,2018-02-23,sh.600000,12.66,12.78,12.59,12.72,1,positive
34,2018-02-26,sh.600000,12.77,12.84,12.61,12.73,1,negative
35,2018-02-27,sh.600000,12.75,12.76,12.61,12.69,1,negative
36,2018-02-28,sh.600000,12.61,12.66,12.44,12.46,1,negative
37,2018-03-01,sh.600000,12.4,12.5,12.38,12.47,1,positive
38,2018-03-02,sh.600000,12.4,12.46,12.36,12.41,1,positive
39,2018-03-05,sh.600000,12.41,12.48,12.34,12.42,1,positive
40,2018-03-06,sh.600000,12.48,12.51,12.38,12.49,1,positive
41,2018-03-07,sh.600000,12.51,12.6,12.46,12.49,1,negative
42,2018-03-08,sh.600000,12.55,12.55,12.4,12.47,1,negative
43,2018-03-09,sh.600000,12.49,12.51,12.42,12.48,1,negative
44,2018-03-12,sh.600000,12.53,12.54,12.46,12.5,1,negative
45,2018-03-13,sh.600000,12.5,12.58,12.43,12.49,1,negative
46,2018-03-14,sh.600000,12.45,12.45,12.38,12.39,1,negative
47,2018-03-15,sh.600000,12.35,12.41,12.34,12.39,1,positive
48,2018-03-16,sh.600000,12.36,12.4,12.3,12.3,1,negative
49,2018-03-19,sh.600000,12.31,12.33,12.26,12.31,1,positive
50,2018-03-20,sh.600000,12.28,12.39,12.25,12.32,1,positive
51,2018-03-21,sh.600000,12.34,12.4,12.28,12.29,1,negative
52,2018-03-22,sh.600000,12.35,12.35,12.25,12.25,1,negative
53,2018-03-23,sh.600000,12.0,12.06,11.64,11.71,1,negative
54,2018-03-26,sh.600000,11.71,11.75,11.5,11.61,1,negative
55,2018-03-27,sh.600000,11.7,11.77,11.56,11.62,1,negative
56,2018-03-28,sh.600000,11.53,11.75,11.52,11.57,1,positive
57,2018-03-29,sh.600000,11.57,11.71,11.45,11.62,1,positive
58,2018-03-30,sh.600000,11.63,11.69,11.61,11.65,1,positive
59,2018-04-02,sh.600000,11.68,11.82,11.65,11.71,1,positive
60,2018-04-03,sh.600000,11.66,11.67,11.54,11.56,1,negative
61,2018-04-04,sh.600000,11.61,11.65,11.53,11.53,1,negative
62,2018-04-09,sh.600000,11.53,11.59,11.49,11.5,1,negative
63,2018-04-10,sh.600000,11.52,11.79,11.51,11.77,1,positive
64,2018-04-11,sh.600000,11.79,12.02,11.75,11.91,1,positive
65,2018-04-12,sh.600000,11.91,11.96,11.76,11.78,1,negative
66,2018-04-13,sh.600000,11.83,11.89,11.69,11.69,1,negative
67,2018-04-16,sh.600000,11.8,11.8,11.54,11.55,1,negative
68,2018-04-17,sh.600000,11.56,11.7,11.55,11.55,1,negative
69,2018-04-18,sh.600000,11.75,11.79,11.66,11.73,1,negative
70,2018-04-19,sh.600000,11.8,11.89,11.76,11.8,1,positive
71,2018-04-20,sh.600000,11.74,11.79,11.57,11.61,1,negative
72,2018-04-23,sh.600000,11.56,11.75,11.53,11.6,1,positive
73,2018-04-24,sh.600000,11.56,11.78,11.56,11.78,1,positive
74,2018-04-25,sh.600000,11.71,11.77,11.65,11.66,1,negative
75,2018-04-26,sh.600000,11.73,11.78,11.55,11.57,1,negative
76,2018-04-27,sh.600000,11.58,11.67,11.55,11.61,1,positive
77,2018-05-02,sh.600000,11.33,11.33,10.97,11.03,1,negative
78,2018-05-03,sh.600000,10.99,11.01,10.83,10.92,1,negative
79,2018-05-04,sh.600000,10.91,10.94,10.8,10.83,1,negative
80,2018-05-07,sh.600000,10.82,10.89,10.76,10.84,1,positive
81,2018-05-08,sh.600000,10.84,10.97,10.81,10.95,1,positive
